CharacterID,ID,ScriptID,Script,Value,Branch
13401,8,80061,"""사격 훈련이라... 좋은 생각이에요. 명중률을 높이는 것은 전투에서 결정적인 차이를 만들죠.""",-1,80062
13401,8,80062,"""지휘관님의 지시대로, 오늘은 사격 기술을 집중적으로 연습해보겠습니다.""",100,0
13401,8,80063,"""체력 트레이닝도 중요하죠. 전장에서의 지구력은 생존과 직결되니까요. 오늘은 소대원들과 다 같이 단련해볼게요.""",-1,80064
13401,8,80064,"""지휘관님과 함께라면 어떤 훈련도 힘들지 않을 거예요.""",50,0
13103,9,80065,"지휘관님, 오늘 우리 가디언들이 어떤 훈련을 집중해야 할지 결정해야 할 시간입니다. 우리 팀은 강해져야 하니까요. 지휘관님의 의견은 어떠십니까?",-1,-1
13103,9,80066,!오늘은 전술 훈련에 집중한다,-1,80068
13103,9,80067,"!구조 훈련을 강화해서, 위험 상황에서의 대응 능력을 높인다",-1,80070
13103,9,80068,"전술 훈련이군요. 지휘관님이 제안하신대로, 오늘은 의사결정 능력을 갈고닦아야겠어요.",-1,80069
13103,9,80069,"전장에서 빠른 판단은 우리가 살아남는 데 결정적입니다. 함께라면 더 빠르게, 더 정확하게 배울 수 있을 거예요.",100,0
13103,9,80070,"구조 훈련도 중요하죠. 지휘관님의 의견을 따라, 오늘은 구조 능력 향상에 집중해 보겠습니다. ",-1,80071
13103,9,80071,가디언으로서의 우리 임무를 잊지 말아야겠죠.,50,0
13103,10,80072,"""지휘관님, 가디언 팀의 효율성을 유지하는 것과 개인적인 균형 또한 중요하다는 것을 인식하고 있습니다.""",-1,-1
13103,10,80073,"""이번 기회에 취미를 시작하고자 하는데, 어떤 활동이 좋을지 궁금합니다. 지휘관님의 추천을 부탁드립니다.""",-1,-1
13103,10,80074,!메리아와 함께 음악 활동,-1,80076
13103,10,80075,!체스 및 전략 게임 플레이,-1,80078
13103,10,80076,"""메리아와의 음악 활동을 시작하다니... 팀워크를 증진하고 소통하는 데 도움이 될 것 같습니다.""",-1,80077
13103,10,80077,"""메리아에게 연락하여 상의해보겠습니다. 좋은 제안을 주셔서 감사합니다.""",100,0
13103,10,80078,"""체스와 전략 게임을 통해 플레이하다니, 전술적 사고력을 연마하는 데에 유익할 것 같습니다.""",-1,80079
13103,10,80079,"""전술적 사고와 게임의 집합체라...적절한 휴식 방법이 될 수 있겠군요. 이 제안도 고려해보겠습니다.""",50,0
13103,11,80080,"""저는 이런 평화로운 날에는 기지 내의 이 정원에서 잠시 머무르는 것을 좋아합니다.""",-1,-1
13103,11,80081,"""전쟁의 긴장감에서 벗어나 잠시나마 평화로움을 즐기죠. 지휘관님은 여가 시간을 어떻게 보내십니까?""",-1,-1
13103,11,80082,!친구들과 함께 정기적으로 스포츠를 즐긴다.,-1,80084
13103,11,80083,!도시에 있는 맛집을 찾아다닌다.,-1,80086
13103,11,80084,"""스포츠를 즐기시는군요. 팀 스포츠는 몸과 마음 모두에 활력을 주는 좋은 방법이죠. 팀으로서의 협동을 강화하는 데에도 도움이 됩니다.
""",-1,80085
13103,11,80085,"""지휘관님과 함께 스포츠를 즐길 기회가 있었으면 좋겠네요.""""",50,0
13103,11,80086,"""맛집이... 무엇입니까?""",-1,80087
13103,11,80087,"""맛있는 음식점 이라는 말이라니... 요즘 사람들은 다들 이런 말을 쓰는겁니까?""",-1,80088
13103,11,80088,"""다음에 괜찮다면 저도 그... 맛집이라는 곳을 함께 가보고싶습니다.""",100,0
